"treat1","emmean","SE","df","lower.CL","upper.CL",".group","tabval"
"A",0.394083333333336,0.0329750758640877,3.28174157909308,0.143043928073619,0.645122738593054,"    d  ","39.4 d"
"A Acid",0.265023848999489,0.0423307389409213,7.89515917261617,0.0903789024581257,0.439668795540852,"  b    ","26.5 b"
"A Dis",0.394858541589461,0.0423307389409213,7.89515917261615,0.220213595048097,0.569503488130824,"  bcde ","39.5 bcde"
"A Dis + acid",0.322191874922794,0.0423307389409213,7.89515917261617,0.147546928381431,0.496836821464158,"  bcd  ","32.2 bcd"
"A MF liquid",0.0631268960826977,0.0423307389409213,7.89515917261615,-0.111518050458666,0.237771842624061," a     ","6.3 a"
"A MF slurry",0.452560229416031,0.0423307389409213,7.89515917261615,0.277915282874667,0.627205175957395,"    def","45.3 def"
"A Sep-D",0.0659393855027459,0.0370209949458445,4.85372118366394,-0.131251231182539,0.26313000218803," a     ","6.6 a"
"A Sep-D + acid",0.0742252082561275,0.0423307389409213,7.89515917261616,-0.100419738285236,0.248870154797491," a     ","7.4 a"
"A Sep-S",0.264310229416031,0.0406569311353296,6.76403704897923,0.0852710813921562,0.443349377439906,"  bc   ","26.4 bc"
"B",0.518623947830593,0.0370209949458445,4.85372118366395,0.321433331145309,0.715814564515877,"     ef","51.9 ef"
"B Acid",0.572690515666156,0.0423307389409213,7.89515917261617,0.398045569124792,0.747335462207519,"      f","57.3 f"
"B Sep-S",0.321890713328364,0.0423307389409213,7.89515917261617,0.147245766787001,0.496535659869728,"  bcd  ","32.2 bcd"
"B Sep-S + acid",0.394357182332822,0.0423307389409213,7.89515917261617,0.219712235791459,0.569002128874186,"   cd  ","39.4 cd"
"C",0.240890713328364,0.0423307389409213,7.89515917261617,0.0662457667870009,0.415535659869728,"  b    ","24.1 b"
"C Sep-D",0.0344907133283643,0.0423307389409213,7.89515917261617,-0.140154233212999,0.209135659869728," a     ","3.4 a"
