"new.ID","dt","air.temp.start","air.temp.mean","air.temp.min","air.temp.max"
"1",2023-04-12 14:45:00,8.66,8.29,3.7,13.7
"2",2023-04-19 14:20:00,12.7,9.22,2.9,18.1
"3",2023-05-10 13:51:00,17.6,13,5.4,21.2
"D1",2023-05-17 13:27:00,10.8,12.8,4.1,22.1
"D2",2023-05-24 13:51:00,17.1,11.6,5.9,20.5
"13",2024-02-19 15:41:00,7.4,4.83,0.2,9.9
"9",2024-03-06 16:25:00,3.56,1.74,-3.2,5.8
"5",2024-03-13 16:51:00,8.39,5.39,-2.4,10.7
"6",2024-03-19 14:51:00,5.36,5.43,0.6,10.5
"D3",2024-04-03 15:51:00,2.6,9.4,1.1,16.3
"D4",2024-04-10 12:31:00,9.62,8.38,1.9,14.7
"D5",2024-04-17 13:29:00,10.6,4.21,-1.7,10.8
"10",2024-04-24 15:30:00,6.22,8.75,2.1,18.2
"14",2024-05-01 16:24:00,21.1,12.7,7.1,22.6
"7",2024-05-08 15:31:00,13.9,12.8,5.9,20.7
"15",2024-05-15 15:52:00,21.3,16.4,8.4,23.2
"8",2024-05-23 13:38:00,16.4,14.8,8.9,20.4
"4",2024-06-03 10:50:00,14.5,10.8,5.6,17.7
"11",2024-06-25 13:44:00,22.6,17.9,11.3,26.8
"12",2024-07-01 15:16:00,15.5,13.7,11.8,16.2
