experiment;DFC;dPa
23D;1;129.7
23D;2;126.9
23D;3;128.4
23D;4;119.6
23D;5;128.3
23D;6;125.9
23D;7;122.5
23D;8;125.9
23D;9;122.6
23D;10;123.7
23D;11;119.9
23D;12;125.4
23D;13;126.3
23D;14;126.3
23D;15;118.1
23D;16;120.9
23C;1;124.7
23C;2;116.1
23C;3;120.7
23C;4;120.3
23C;5;126.9
23C;6;129
23C;7;116.1
23C;8;121.8
23C;9;123.2
23C;10;124
23C;11;121
23C;12;124.1
23C;13;123.6
23C;14;122.3
23C;15;114.9
23C;16;116.4
23H;1;134.5
23H;2;129.5
23H;3;126.5
23H;4;123.9
23H;5;131.9
23H;6;126.9
23H;7;129.2
23H;8;129.7
23H;9;127.7
23H;10;123.9
23H;11;125.6
23H;12;129.3
23H;13;128.5
23H;14;127.2
23H;15;125.9
23H;16;127.7
23G;1;116.5
23G;2;115.6
23G;3;115.7
23G;4;115.5
23G;5;111.6
23G;6;121.2
23G;7;114.2
23G;8;112.6
23G;9;115.1
23G;10;104.7
23G;11;119.6
23G;12;116.7
23G;13;117.1
23G;14;115.1
23G;15;108.8
23G;16;117.5
23I;1;130.1
23I;2;113.8
23I;3;126.8
23I;4;125.5
23I;5;124.4
23I;6;128.7
23I;7;125.5
23I;8;124.2
23I;9;120.9
23I;10;121.4
23I;11;120.5
23I;12;124.6
23I;13;121.9
23I;14;125.7
23I;15;117.8
23I;16;126.6
